lon,lat,records
116.065396,35.387374,1
119.64328,41.403128,1
105.674983,34.858916,1
116.270648,37.69229,1
119.234259,39.891171,1
107.900219,34.375411,1
119.741223,41.12815,1
114.821348,34.822211,1
114.394915,34.059862,1
115.889765,34.952459,1
81.151337,43.840726,1
102.224653,31.899413,1
117.738658,39.900401,1
111.22472,35.356644,1
104.148556,36.535398,1
109.586506,34.955855,1
112.179238,34.514645,1
114.435832,34.606513,1
119.837124,40.824368,1
109.329236,36.864571,1
121.267741,37.498246,1
107.749767,34.274247,1
111.220456,35.141363,1
114.901492,35.971653,1
109.099975,35.114492,1
116.456187,36.289265,1
114.837887,34.063798,1
111.188398,34.770886,1
116.76281,36.783415,1
